id,Question,Response
78,are you lost ?,nope just came by to chat
79,nope just came by to chat,we don t chat .
80,i hear you re helpin verona .,uh yeah . we re old friend
81,uh yeah . we re old friend,you and verona ?
82,who s that ?,patrick verona random skid .
83,he always look so,block e ?
84,what s this ?,an attempted slit .
85,william didn t even go to high school,that s never been proven
86,that s never been proven,neither has his heterosexuality .
87,you think this ll work ?,no fear .
88,what d he say ?,who cares ?
89,i did bianca a favor and it backfired .,you didn t
90,have you seen him ?,who ?
91,who ?,william he asked me to meet him here .
92,i mean wo man . how ya doin ?,sweating like a pig actually . and yourself ?
93,pick you up friday then,oh right . friday .
94,you covered in my vomit .,seven thirty ?
95,excuse me ?,that s what you want isn t it ?
96,you know who the raincoats are ?,why don t you ?
97,i say do what you wanna do .,funny you re the only one
98,okay ?,i m fine . i m
99,you re not okay .,i just need to lie down for awhile
100,why re you doing this ?,i told you
101,i told you,you don t care if i die
102,you don t care if i die,sure i do
103,sure i do,why ?
104,why d you let him get to you ?,who ?
105,who ?,dorsey .
106,dorsey .,i hate him .
107,i thought you were above all that,you know what they say
108,kat ! wake up !,what ?
109,busy,were you in jail ?
110,were you in jail ?,maybe .
111,maybe .,no you weren t
112,no you weren t,then why d you ask ?
113,then why d you ask ?,why d you lie ?
114,i should do this .,do what ?
115,do what ?,this .
116,start a band ?,my father wouldn t approve of that that
117,oh so now you think you know me ?,i m gettin there
118,who ?,bianca
119,what are you doing here ?,i heard there was a poetry reading .
120,i heard there was a poetry reading .,you re so
121,you re so,pleasant ?
122,wholesome .,unwelcome .
123,so what did i have an effect on ?,other than my upchuck reflex ? nothing .
124,c mon . it s not that bad,try lookin at it from this angle
125,put your right foot there,forget it . i m stayin .
126,a soft side ? who knew ?,yeah well don t let it get out
127,yeah well don t let it get out,so what s your excuse ?
128,so what s your excuse ?,acting the way we do .
129,acting the way we do .,yes
130,something like that,then you screwed up
131,then you screwed up,how ?
132,how ?,you never disappointed me .
133,you up for it ?,for . . . ?
134,state trooper ?,fallacy .
135,fallacy .,the duck ?
136,the duck ?,hearsay .
137,hearsay .,i know the porn career s a lie .
138,tell me something true .,i hate peas .
139,what ?,no one else knows
140,is that a request or a command ?,you know what i mean
141,you know what i mean,no .
142,no .,no what ?
143,no what ?,no i won t go with you
144,no i won t go with you,why not ?
145,it s just something i had . you know,oh huh
146,my grandmother s .,what ?
147,my insurance does not cover pms,then tell them i had a seizure .
148,i thought you were punishing me .,why can t we agree on this ?
149,why can t we agree on this ?,because you re making decisions for me .
150,because you re making decisions for me .,as a parent that s my right
151,as a parent that s my right,so what i want doesn t matter ?
152,parts of it .,which parts ?
153,hey there . tired of breathing ?,hi .
154,hi .,cool pictures . you a fan ?
155,cool pictures . you a fan ?,yeah . i guess .
156,you think ?,oh yeah .
157,macbeth right ?,right .
158,right .,kat a fan too ?
159,kat a fan too ?,yeah . . .
160,say it,what ?
161,what ? !,good enough .
162,ever been to club skunk ?,yeah .
163,you were right . she s still pissed .,sweet love renew thy force !
164,you re completely demented .,see you next week !
165,in the microwave .,make anyone cry today ?
166,tumescent !,you re not helping .
167,have a great time honey !,but who what ?
168,what just happened ?,your daughters went to the prom .
169,your daughters went to the prom .,did i have anything to say about it ?
170,did i have anything to say about it ?,absolutely not .
171,absolutely not .,that s what i thought
172,he s the devil s child . . .,we ll all go crazy . . .
173,your life and that of others !,if they agree to follow me yes .
174,i could be gone for years .,i know .
175,she said yes .,thank god . . .
176,beatrix i want to ask you something .,you don t usually ask .
177,can t you stay with us a little ?,i am busy inside .
178,may i ask by whom ?,bartolome and giacomo colon .
179,don alonso de bobadilla .,yes . . . i remember . . .
180,my letters of appointment .,appointment to what ?
181,appointment to what ?,viceroy of the west indies .
182,i want to go with you !,there ll be a time .
183,i have to explore the mainland .,this time with me !
184,how are you feeling fernando ?,not bad .
185,no . . .,no ?
186,i m not bargaining !,then you are too ambitious .
187,you defend yourself admirably . . .,. . . for a commoner ?
188,you come ! you speak first !,tell the chief we thank him .
189,tell the chief we thank him .,chief knows .
190,chief says how many ?,thousands .
191,thousands .,why ?
192,to bring the word of god .,chief says he has a god .
193,chief says he has a god .,. . . and also to bring medicine .
194,. . . and also to bring medicine .,chief says . . .
195,he understands .,ask him if he will help .
196,that s what it says .,how did you manage it ?
197,esdras is a jew .,so was christ !
198,father marchena !,passion is something one cannot control !
199,all of them ! just lies !,colon ! don t !
200,in nomine patris et filius et spiritus sancti .,forgive me father . for i have sinned .
201,i believed in you . . .,give me absolution .
202,i suppose we re both old men now .,you ll always be older than me father .
203,i have to disagree .,i knew you would .
204,i knew you would .,new worlds create new people .
205,new worlds create new people .,oh ? so you are a new man ?
206,the ocean is uncrossable ?,what did they say about granada before today ?
207,what did they say about granada before today ?,that she was impregnable .
208,i cannot ignore the verdict of my council .,surely you can do anything you want .
209,may i speak freely ?,you show no inclination to speak otherwise !
210,we can t raise the wheel without it .,my horse doesn t work .
211,what do you read ?,twenty eight .
212,where can i meet this man ?,immediately .
213,six days ago yes .,you must be mad . . . !
214,you think i don t know that ?,we re lost !
215,we re lost !,the land is there . i know it !
216,you tell that to them !,you re right . let the men decide .
217,is that the man i knew treasurer sanchez ?,yes your majesty .
218,then what do you suggest don sanchez ?,he must be replaced .
219,i know i should not tolerate his impertinence .,then why ?
220,then why ?,because he is not afraid of me .
221,don t say anything .,where are we going ?
222,where are we going ?,i m coming with you .
223,i m coming with you .,yes . yes come with me !
224,you bring the cigarettes ?,oh sure .
225,. . .delusions and paranoia .,i was all of these .
226,no . no way .,but it s . . .
227,alright . that s a justifiable homicide .,yes but he was a cop .
228,are you married ?,divorced .
229,i can t take you to my place .,somewhere else ?
230,so . . .the station is empty ?,yeah . this way .
231,you considered becoming a prostitute ?,yes i considered it .
232,yes i considered it .,did you ever turn tricks before ?
233,did you ever turn tricks before ?,no .
234,no .,what about back home ?
235,what about back home ?,no .
236,so you were never a prostitute ?,what are you asking me ?
237,are you alright ?,i still can t believe eddie s gone .
238,i still can t believe eddie s gone .,i m sorry .
239,is he your boyfriend ?,ludwig ? he s gay are you jealous ?
240,ludwig ? he s gay are you jealous ?,if i was your boyfriend i might be .
241,you better get packed .,right .
242,do you have coffee ?,in the kitchen .
243,in the kitchen .,i ll make some for us .
244,i ll make some for us .,i ll get my clothes .
245,what are you doing ?,pouring it out !
246,oh .,it was my decision not his .
247,who did cause and origin ?,who do you think chief ? !
248,what do you mean cleaned up ?,i let her take a shower .
249,chief mind if i take her ?,okay . but not water sports .
250,yeah right .,what was that korfin ?
251,did the d .a . videotape her deposition ?,yeah . he finished awhile ago .
252,coffee for me i gotta slow down .,vodka tonic .
253,i m gonna propose .,when ?
254,when ?,tomorrow . at lunch .
255,tomorrow . at lunch .,you ready ?
256,what s he looking for ?,a timer .
257,where is she ?,takin a bath .
258,takin a bath .,any i .d . ?
259,sorry . . .pd only .,it s okay .
260,only one guys checked in ?,yeah .
261,are you hit ?,no . i m okay .
262,no .,did you tell him you did ?
263,boy she s so popular all the sudden .,what are you saying ?
264,you know what that is right ?,no what is it ?
265,watch the news ?,nah i musta missed it .
266,nah why should you ?,i don t even watch tv .
267,i don t even watch tv .,good . good . commendable .
268,pretty .,hmmmm .
269,you re polish ?,my folks are .
270,my folks are .,stay here .
271,you goin to the escort service ?,you got any better ideas ?
272,you got any better ideas ?,mind if i ride along with you ?
273,mind if i ride along with you ?,this has nothing to do with your fire .
274,two heads .,better than one .
275,you thirsty ?,i m on duty .
276,why not ?,something back home ?
277,you wanna talk to her alone ?,yeah .
278,yeah .,what would your girlfriend think of that ?
279,what would your girlfriend think of that ?,i don t have a girlfriend .
280,i don t have a girlfriend .,my point exactly .
281,my point exactly .,i m serious here .
282,i m serious here .,so am i .
283,so . . .who s nicky ?,what do you want ?
284,what s your accomplishment .,i kill someone famous .
285,i kill someone famous .,then do it asshole .
286,how many victims are up there ?,there are two bodies found at this point .
287,there are two bodies found at this point .,can we go up to the crime scene ?
288,eddie are you okay ?,yeah . now s not a good time .
289,yeah . now s not a good time .,alright .
290,alright .,alright ?
291,alright ?,alright .
292,alright .,alright .
293,alright .,okay .
294,hey honey .,hey .
295,alright alright eddie . don t patronize me .,i m not .
296,you re ruthless .,you re not so bad yourself .
297,that s good .,yeah .
298,yeah .,well that s great .
299,okay til tonight .,tonight .
300,tonight .,you promise ?
301,you promise ?,yeah . i promise .
302,yeah yeah . good thing .,okay .
303,okay .,see you later . good luck .
304,see you later . good luck .,thank you .
305,thank you .,don t be late .
306,so what s unique ?,not what . who .
307,ready ?,keep them out of my way .
308,keep them out of my way .,okay . you ready ?
309,okay . you ready ?,yeah yeah . jesus .
310,you stuff sausage in it .,and what do you do with the bones ?
311,and what do you do with the bones ?,dog food .
312,are you married ?,no . are you proposing ?
313,tell him to put his gun down !,let her go ! let her go ! !
314,hi i m honey .,where s czech girl ?
315,next . could i see your documents please ?,yes sir .
316,two weeks holiday .,how much money are you carrying with you ?
317,how much money are you carrying with you ?,i have five hundred dollars .
318,yes .,please join us . come on forward .
319,please join us . come on forward .,is there a problem ?
320,we are both from prague .,how long are you planning to stay ?
321,how long are you planning to stay ?,two weeks .
322,two weeks .,i d like to speak for himself okay ?
323,i d like to speak for himself okay ?,he doesn t speak english .
324,don t fool around .,okay .
325,did you hear what i said ?,i want to document my trip to america .
326,what ?,smell like chemicals . . .for smoking drugs .
327,speak english !,you said speak czech !
328,you said speak czech !,how you erase this ?
329,get in the bathroom !,whatever we do we fuck her right ?
330,shut up .,does it hurt ?
331,oh shit . i hate looking at that !,don t want to film this ?
332,why not ?,put the camera down oleg .
333,let me get a shot of it .,sit down !
334,i m serious .,shut up . look !
335,you got that ?,no i don t get that !
336,emil ? ? ? !,surprise ! surprise !
337,we spent it !,ha . ha .
338,i can get you a job .,a job ?
339,a job ?,yes the money is good .
340,yes the money is good .,as a plumber ? !
341,as a plumber ? !,it s easy to learn .
342,robert . . . ?,what are you doing here ?
343,what are you doing here ?,you ve got a call .
344,viewer discretion advised !,you want the tape ? there it is !
345,yeah ?,paulie you ve got kids right ?
346,well he . . .,i want to hear everything he said .
347,i want to hear everything he said .,i m trying to tell you .
348,i m trying to tell you .,alright . go ahead .
349,a cheap hotel .,what are you coming here to do ?
350,what are you coming here to do ?,i m here for movies .
351,no . go ahead .,thanks . appreciate it .
352,what was that ?,evidence . of a homicide .
353,i ll take him .,no way ! he s mine !
354,no way ! he s mine !,we re takin him . don t argue !
355,we re takin him . don t argue !,he s my collar !
356,he s my collar !,well he killed my partner !
357,fire department ? firemen don t carry guns .,oh yeah ? guess again .
358,how did you start the fire this time ?,i used an accelerant .
359,i used an accelerant .,yeah ? what kind ?
360,oh yeah why ?,cause eddie woulda locked him up by now !
361,mouth s clean too .,clean ?
362,clean ?,don t blow your nose !
363,he knew all along .,what ? ?
364,yeah ?,maybe you can be his stand in .
365,how long they been livin here ?,you hear that question garcia ?
366,bobby bobby ! where re you hit ? !,it hurts . aw jesus !
367,it hurts . aw jesus !,lay down . stay down bobby .
368,how was it ?,not good .
369,get outta here !,what the hell happened ?
370,continued,she s wonderful .
371,right . just a sec .,okay .
372,okay .,okay come on down .
373,what s up ?,it s about my salary cheques .
374,it s about my salary cheques .,yes ?
375,really .,yes .
376,that seems very unlikely .,yes i thought so .
377,i know . it would be almost inconceivable .,but not completely inconceivable ?
378,but not completely inconceivable ?,i suppose it isn t logically impossible .
379,i suppose it isn t logically impossible .,i guess it isn t .
380,good morning . how s it going ?,are you reasonably awake ?
381,you re kidding .,no .
382,hal ?,yes .
383,i m sorry about the misunderstanding hal .,well don t worry about it .
384,well don t worry about it .,and don t you worry about it .
385,and don t you worry about it .,is your confidence in me fully restored ?
386,is your confidence in me fully restored ?,yes it is hal .
387,too bad about frank isn t it ?,yes it is .
388,the antenna has to be replaced .,repairing the antenna is a pretty dangerous operation .
389,continued,did they have any explanation for this ?
390,continued,well what is it ?
391,i m having a party tomorrow .,yes i know that sweetheart .
392,yes i know that sweetheart .,are you coming to my party ?
393,when are you coming home ?,in three days darling i hope .
394,mommy s out to the hair dresser .,where is mrs . brown ?
395,where is mrs . brown ?,she s in the bathroom .
396,yes daddy .,bye bye now sweetheart .
397,bye bye now sweetheart .,goodbye daddy .
398,oh thank you very much .,thank you .
399,thank you .,well how s it going back there ?
400,oh that s such a delightful age .,how is gregor ?
401,yes very pleasant .,well shall we go through documentation ?
402,well shall we go through documentation ?,fine .
403,are you quite sure ?,yes really thank you very much .
404,that s right .,i see .
405,fortunately they did .,well i m glad about that .
406,that s true .,thank you very much hal .
407,hal have pod arms secure the component .,roger .
408,i understand .,hal maintain normal e .v .a . condition .
409,hal maintain normal e .v .a . condition .,roger .
410,roger .,hal check all airlock doors secure .
411,yeah ?,i want to pick up my car .
412,name ?,hammond .
413,this is three years old .,yeah i ve been busy .
414,we don t wash em ya know .,how about chargin the battery ?
415,yeah .,vodka .
416,vodka .,maybe you better have a black russian .
417,maybe you shoulda stole a better truck tonto .,you got a real big mouth convict .
418,i want to drive awhile .,i ain t tired yet .
419,whaddya mean buy ?,pros .
420,pay money ?,yeah dummy . money .
421,yeah dummy . money .,i never paid for it in my life .
422,you re in a hurry .,yeah i been waiting three years .
423,yeah i been waiting three years .,you just quit bein a priest or somethin ?
424,i hear you ve got visitors .,would you guys . . .
425,you re gonna help us take him .,no chance .
426,where s ganz ?,in the back . down the other corridor .
427,i got a lot to protect .,bullshit .
428,luther was part of the gang ?,what gang you talkin about jack ?
429,hey this works pretty good .,thank you .
430,thank you .,want to try it again ?
431,now where we goin convict ?,mission district . gonna find us an indian .
432,i don t give out the details .,last night two nights ago three ?
433,last night .,you have a good time ?
434,there .,must be billy s girl .
435,must be billy s girl .,come on .
436,how much ?,half a million .
437,half a million .,jesus .
438,we split ?,not likely convict .
439,not likely convict .,you gonna let me keep any of it ?
440,what ?,musta got some primo bondsman .
441,you stay with me . . .,no way . . .
442,what about luther ?,what about ganz ?
443,why ?,luther s on the move . . .
444,notice something funny about that bus ?,yeah . it missed the last four stops .
445,it s late they re closing . . .,don t worry about it .
446,hey there she is . . .,whatever play i maker just back me up .
447,yeah . . .,anthing botherin you besides losin your gun ?
448,jack ?,yeah ?
449,what the bell happened ?,i lost them that s what happened .
450,i lost them that s what happened .,how did they get away ?
451,which one pulled the trigger ?,the indian . i was about yards away .
452,the indian . i was about yards away .,you couldn t get to him ?
453,that s what you say cates . . .,yeah .
454,tell me that s not the same guy .,hey . . . dick tracy .
455,aw bullshit you heard wrong .,doesn t look like it .
456,bullshit red tape .,i m heading out . how about you ?
457,hey you re right .,you re hopeless .
458,you re hopeless .,that s the way i see it too .
459,i m all wet .,what s wrong with that ?
460,hey you know what i really think ?,tell me i m dyin to hear it .
461,maybe i got a fairly crummy day ahead .,maybe that makes a nice excuse .
462,you know something jack you really are hopeless .,that s the way i see it too .
463,that s the way i see it too .,call me later .
464,call me later .,you sure you want me to ?
465,great place for lunch .,yeah one of my favorites .
466,yeah one of my favorites .,you made the front page .
467,jack wait . . .,just a second that s all !
468,hello .,hi it s me . . .
469,hi it s me . . .,fuck you .
470,hey i don t believe it .,hiya kid .
471,three more hours . . .,where is he ?
472,you re impossible . . .,that s what i always say .
473,hard man to live with .,how would you know ?
474,how would you know ?,hey two days with him is enough .
475,hey two days with him is enough .,that s no bull .
476,hey . . .,shut up .
477,stall .,what do you want ?
478,keep stallin .,alright i m coming . . .hold on .
479,how ya doin ?,can t complain .
480,can t complain .,we got a lot to talk about .
481,we got a lot to talk about .,yeah old times .
482,surprise luther .,whaddya want ? i thought you were locked up
483,don t give me this we were partners .,billy go ahead break it . . .
484,let her go .,first the money .
485,how you doing man ?,not bad not bad .
486,you want to go outside ?,naw right here s okay .
487,don t mess with me . how much ?,five bills .
488,five bills .,five . on credit .
489,five . on credit .,this ain t a credit business .
490,give it back .,try and take it .
491,appipulai leeloo minai . .,corn i lius ?
492,corn i lius ?,at your service .
493,what re you laughing about ?,napoleon . . . small .
494,san agamat chay bet . . . envolet !,the case was stolen ?
495,ikset kiba . me imanetaba oum dalat !,you know exactly where they are !
496,. . .we re saved !,i m fucked !
497,. . .would you like a drink ?,no thank you .
498,you are a monster zorg !,i know . . .
499,excuse me i m looking for a priest .,weddings are one floor down . congratulations .
500,who are you ?,i brought the girl remember ?
501,i brought the girl remember ?,the girl ?
502,he s a she !,you noticed . . .
503,they all like this in your family father ?,she s an exception . .
504,it means never without my permission .,that s what i thought .
505,what kind of mission ?,we have to save the world .
506,we have to save the world .,good luck . .
507,good luck . .,of course .
508,leeloo s in trouble ?,when is she not in trouble ?
509,is there anything that can stop it ?,yes . .thank god . .
510,it s a miracle ! ! !,what is ?
511,they really made her . . .,perfect .
512,yeah ?,hey bud ! finger here .
513,i just found a picture of you .,how do i look ?
514,how do i look ?,like shit .
515,uh . . . at least fifty .,in your dreams ! see you tonight !
516,akina delutan nou shan .,. . . scuse me ?
517,. . .what s your name ?,leeloo minai lekarariba laminai tchai ekbat de sebat .
518,when evil returns so shall we .,we will be ready lord .
519,are you listening to me you ingrate !,yes ma . .
520,yeah ?,have you pulled yourself together ?
521,have you pulled yourself together ?,. . .not yet .
522,hello ?,you little sleaze bag !
523,you little sleaze bag !,. . .ma ? ? ?
524,fuel level . . .propulsion x . . .,i had the worst goddamn nightmare .
525,i m sorry . .,this is a police control action . .
526,. . . . . .,found it ?
527,. . .hi .,does it get any better or what !
528,you know how to fly this thing ?,it s like a cab isn t it ?
529,what mission ?,to save the world .
530,to save the world .,where have i heard this song before ?
531,don t you open your messages ?,i ve had enough good news for today
532,old tricks are the best tricks eh ?,i m not going .
533,i m not going .,why not ?
534,. . .shit !,what is it ?
535,it s my wife .,i thought you were divorced .
536,three of us will never fit in there !,oh yes you will . . .
537,apipoulai !,i suppose that means hi ?
538,valo massa . . . chacha hamas .,uh . .you re welcome .
539,you hear that ?,cornelius . .
540,cornelius . .,oh god !
541,finished what ?,learning language .
542,learning language .,which one ?
543,which one ?,all .
544,apipoussan !,apipoussan ?
545,uh . . .,. . .hoppi hoppa .
546,you noticed . .,ok you can turn around !
547,it s up to you now angel !,i m so tired . . .
548,. . .like love . . .,exactly .
549,tell me . . .,i love you . . .
550,the cash man !,been here long ?
551,thanks . .,you re welcome . .
552,this is all that survived ?,actually only one cell survived . .
553,actually only one cell survived . .,have you identified it ?
554,this thing solid ?,an elephant couldn t crack it .
555,the stones weren t aboard the ship .,. . .what do you mean ?
556,they just landed in the desert .,how much time is left ?
557,is that better ?,perfect mr . president .
558,options .,wait or act .
559,wait or act .,recommendations .
560,drink !,to fame . . salud . .
561,got it .,how s our deal coming along ?
562,welcome home .,do you know how much i missed you ?
563,smoking ? i m not smoking .,your clothing reeks of it .
564,i m not accusing you . . .,well i m not smoking okay ?
565,well i m not smoking okay ?,okay i believe you .
566,i love you .,i love you .
567,. . . what s going on ?,just do it amy please go .
568,i wanted to call . i couldn t .,you couldn t ?
569,you couldn t ?,you don t understand . . .
570,i don t know what to say,you re killing me . . .
571,you re killing me . . .,don t . . .
572,who are you calling ?,mrs . christian .
573,mrs . christian .,what ?
574,anything harder ?,there s nothing harder .
575,there s nothing harder .,snuff ?
576,snuff ?,what you see is what i got mister .
577,bullshit .,i m telling you . . .
578,dino . . .,nobody knows anything .
579,what the fuck . . . !,i promised him to machine .
580,a fellow investor .,hmm .
581,that s five thousand dollars .,is it ?
582,and they are ?,i want to watch you work .
583,i want to watch you work .,i ll consider it .
584,i d rather you didn t .,what s the problem ?
585,what s the problem ?,i m camera shy .
586,where s that ?,brooklyn . don t be late .
587,you brought the money ?,right here .
588,excellent .,where are the women ?
589,where are the women ?,they should be here any minute .
590,what are you . . . ?,take out your gun !
591,you remember mr . longdale don t you ?,i remember him .
592,you re a dead man .,leave him alone .
593,leave him alone .,fuck off .
594,call me tom .,alright tom .
595,i figured you share information .,we do .
596,celebrity films .,eddie .
597,eddie .,yeah who s this ?
598,yeah who s this ?,i know what you did .
599,i know what you did .,what ?
600,what ?,i know what you did .
601,i know what you did .,who is this .
602,i m gonna kill you .,don t bore me with that bullshit .
603,don t bore me with that bullshit .,how d you find me here ?
604,don t ask questions .,fuck you !
605,starting to recognize a pattern ?,what do you want ?
606,what do you want ?,who is machine ?
607,who is machine ?,i don t know . . .
608,i don t know . . .,i want his name .
609,i want his name .,i told you i don t know .
610,yeah .,how much did he pay you ?
611,how much did he pay you ?,thirty thousand each that fucking cocksucker .
612,why ?,because we re going there .
613,stop talking .,you got absolute zero .
614,you got absolute zero .,show me where you buried her .
615,do it .,don t think i won t .
616,easy enough for you .,i never killed anyone .
617,of what sort ?,you are a private investigator ?
618,you are a private investigator ?,that s right .
619,they re no friends of mine .,except you re willing commit murder with them .
620,you re asking me why ?,i m asking .
621,isn t it incredibly obvious ?,enlighten me .
622,you almost went over your limit .,fuck you .
623,give me the film .,you ll get it when we get there .
624,big date tonight ?,yeah . . . guess so .
625,how long you been working there ?,three four years .
626,i m not a cop .,you re a private eye . like shaft .
627,you re a private eye . like shaft .,not quite .
628,how much ?,how much do you make now ?
629,how much do you make now ?,four hundred a week off the books .
630,. . . hello . . . ?,wake up pops . your education begins tonight .
631,how old are you ?,twenty five .
632,twenty five .,where are your parents ?
633,where are your parents ?,i don t know where are yours ?
634,specialty product .,you re learning .
635,you re learning .,where does he sell it ?
636,it s their presidential suite .,great .
637,mister welles . you re very prompt .,i try to be .
638,i told you i can t not yet .,you don t have any other choice .
639,you ve found missing persons before .,nothing remotely like this .
640,i m not positive this means anything .,the checks were for odd amounts . . .
641,hello . . . ?,i m here .
642,hello ?,mrs . christian tom welles here .
643,mrs . christian tom welles here .,how are you ? having any luck ?
644,what was she running from ?,i don t know .
645,why do you think he did it ?,it got to be too much for him .
646,we re all like that .,are you religious ?
647,are you religious ?,no .
648,no .,you should be .
649,what is this ?,those are her belongings .
650,those are her belongings .,her belongings ?
651,none too discreet is he ?,no sir he is not .
652,okay i ll take it all .,excellent . we accept mastercard and american express .
653,excellent . we accept mastercard and american express .,cash .
654,no you may not .,okay . fine .
655,alice you think you can leave ?,what s wrong ?
656,what s wrong ?,kincaid and joey died last night .
657,kincaid and joey died last night .,what ?
658,you alright ?,kristen . . .
659,i m sure they re around .,yeah i m not so sure .
660,ohhhhbaby i am dead on my feet .,we have matching luggage .
661,we have matching luggage .,what ?
662,you ve been up all night ?,that obvious huh ?
663,that obvious huh ?,then you saw him too ?
664,no . . .,you re his sister right ?
665,i ve been working double shifts .,extra money huh ?
666,how long have you been awake ?,three days .
667,not really .,is there something we can do ?
668,you look great !,save it for later . come on !
669,rick please .,alright i think i see salvation . . .
670,it was freddy .,enough of that crap .
671,t t thanks alice . . .,earth to alice . . .
672,i don t get it .,let me talk to you .
673,hey man we re all sorry . . .,she knew she was gonna die .
674,what s wrong with me ?,your distraught . it ll help . . .
675,something wrong with the stairs ?,avoid all contact day .
676,avoid all contact day .,what ?
677,what is it ?,oh god ! he killed them !
678,i gotta get out of here .,you just stay put . you need rest .
679,excuse us dear .,it s okay dan
680,hey . . .wake up .,huh ?
681,shouldn t you be in your room jacob ?,it s lonely in there in my room .
682,it s lonely in there in my room .,my name is . . .
683,i m sorry your boyfriend got killed .,how did you know that ?
684,is that who you re waiting for ?,no . . .
685,who says i don t like you ?,my friend with the funny hand .
686,where is he ?,he s inside you where he hides .
687,hi beautiful .,jesus ! don t do that !
688,jesus ! don t do that !,sorry babe .
689,you re right .,there you go . love you .
690,there you go . love you .,me too .
691,where are we going ?,to take a picture .
692,how was the meeting ?,sobering . . .
693,sobering . . .,very funny .
694,very funny .,alice . . .
695,alice . . .,since when are you such a smart shopper ?
696,alice !,i ve got to go .
697,but dad,now .
698,you do good work alice .,so did dan .
699,not to mention the heartbreak of psoriasis .,greta come on . one burger with me ?
700,mark are you okay ?,yeah . i m just aces .
701,then get out !,mark !
702,who s jacob ?,my baby !
703,my baby !,what you named it already ?
704,they think i m nuts .,that s their problem .
705,poor woman . . .,no shit .
706,next life . oh what s that ?,my undying love . have some .
707,stop saying that it s bullshit .,i want to talk about the baby .
708,vomit ?,faint .
709,it s okay .,stick around please ?
710,you too ?,he invited me to his house last night .
711,what is it ?,your out . this came for you .
712,your out . this came for you .,my father ! he s not ?
713,unidentified flying objects .,then . . .this is a flying saucer ?
714,but if they u do u ?,i don t know .
715,reef !,so they caught up with you too ?
716,we re stuck tight !,skipper ! look at the depth gauge !
717,you ve got to let us try skipper,us ?
718,yeah ?,listen ! hear that ?
719,you hear that ?,the sound again ?
720,somewhere down there ?,wonder where powell and carney are ?
721,wonder where powell and carney are ?,we ll have to look for them later .
722,well ?,i m with u you ! u
723,is there any way out of it ?,seems to be all around . . .
724,seems to be all around . . .,what about down ?
725,what about down ?,i . . .don t know !
726,what course skipper ?,right at our one eyed friend !
727,you better take powell and carney with you,the frogmen ?
728,sidearms ? but the saucer s dead .,we hope !
729,excuse me skipper,yes griff ?
730,now they feel it . . .down below .,radiation level . . .constantly rising . . .
731,as we near the pole . . .,there s got to be an explanation !
732,who with ?,dr . neilsen . he ll be
